SKU,Stock,Regular price,UPC
B00YTN1E9U,10,79.2,99575893964
B09XXJXQP2,0,0,
B09Q7KRX5P,10,33.15,44459006329
B09Q7QL613,10,36.63,44459063193
B0899TLXGX,0,0,653858018873
B001445IZ8,10,50.18,26137050602
B0755N6CSR,0,39.99,21299193990
B07L2JRHRQ,10,41.59,635414975837
B07DPD7N38,10,39.99,785421883301
B087CBWCY5,10,37.18,628055631712
B09S19DHTJ,0,0,
B0012QKOIY,0,40,716352055406
B083JZ5XC9,0,56.99,
B07XQDP5X9,0,0,797241713959
B09RYPYQYZ,5,85.59,
B088TTNWTY,0,0,
B07HM5JCCJ,10,42,
B09Z9HGSJS,10,49.19,
B079SCYJK9,10,30.09,817035020312
B06ZYD6R57,0,0,685642913323
B07FL2HD9T,5,96.79,656516592081
B07BJJ2K4G,10,39.99,799899766141
B07BJH9J49,10,31.99,799899741810
B07BJHRMPR,10,20.79,799899590814
B07BJHZ1TT,10,61.6,799899978643
B07GHBJMSB,10,39.2,657631453172
B07BJHNCSS,10,35.19,799899756494
B07BJHWKWF,10,43.19,799899958379
B00GNYJUQW,10,51.59,12300980418
B08T5QX7M6,10,55.99,
B0008MFBZE,10,33.33,710858007631
B088GS4GL5,10,47.99,
B07RF2YQMH,10,39.99,850007398170
B07RG1QQSD,10,35.99,850007398163
B07RD1TQKN,10,23.99,850007398156
B001BBKNI6,10,58.42,744745164336
B00462C7D6,10,59.98,858108000534
B0B72XCP4R,10,37.38,764271763339
B00871SPG0,0,41.54,764271070277
B08TZW7TB2,10,31.19,783907295747
B082XVLVVW,10,47.19,781827416426
B08R7TK48H,5,95.99,
B09QY19TXC,10,35.99,612666771509
B08HMV12H6,10,46.39,779139997498
B09VJ8D89W,10,31.96,745781697291
B011D17FDY,10,78.4,
B07F1DXGCL,10,67.98,816227016621
B07FNN38XR,10,35.99,764823789824
B07RYRYK96,10,18.39,727040881542
B07FNPMKZY,10,33.59,764823789893
B07FNQ9YVV,10,31.19,764823789855
B07FNQ4G8M,10,17.59,764823789862
B07RYR267B,10,63.19,727040881566
B07FNRK28G,10,19.19,764823789886
B07RZQ6B96,10,61.58,727040881597
B07FN299MK,10,63.99,763769603294
B07RXQFV6Z,10,32.79,727040881559
B07RYRJBS4,10,30.39,727040881580
B07FNPFSJM,10,68.79,764823789817
B07RYS5151,10,16.79,727040881573
B07FNRHHQS,10,62.38,764823789848
B07FNV4J55,10,19.19,764823789831
B01E70BBCE,0,0,
B01E6XJRDC,10,54.39,754610696947
B07X9L4G75,10,45.59,
B07XBKPTQL,10,50.39,
B074K3RZNV,10,59.19,754610697692
B09YTWBJP4,0,0,
B0B35K55YZ,0,0,
B08X1SQQK3,5,110.04,841821075095
B006P1RL9G,10,30.59,884389102865
B08P4LN1XX,10,50.39,770240943893
B07Q4XBP33,0,0,
B07Q5VMP5N,5,135.99,810744035721
B0832QXJVJ,10,31.99,742440824883
B000CFPXPU,0,75.58,36577011170
B09MSGVXNB,10,27.99,779953084350
B09KM625MG,10,23.99,770490066113
B09QT19C87,0,0,727238390733
B07W4DS2QT,10,31.88,782429037668
B09M9XKPFW,10,52.78,
B08V4PZQ1Y,10,63.19,780744034317
B07KWQ2PMQ,10,55.99,788000773918
B07KWSJSSD,10,39.19,788000773901
B000JJDI0G,10,35.19,891618001301
B074KGHNGT,5,111.19,33259008978
B01FFAMH78,10,29.6,68888765084
B09215NDYC,10,31.99,726667685724
